Vault,Folder,RoleOverride,ViewRoles,Add,Edit,Delete,ViewPassword,Execute,EditSecurity,ConnectionHistory,PasswordHistory,Remotetools,Inventory,Attachment,EditAttachment,Handbook,EditHandbook
Test,Boston\Customer 28\Devices,Custom,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,AdminBos,AdminBos,AdminBos,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl
Test,Boston\Customer 29,Custom,SupportTechBos,SupportTechBos,SupportTechBos,SupportTechBos,SupportTechBos,SupportTechBos,AdminTel,AdminTel,AdminTel,SupportTechBos,SupportTechBos,SupportTechBos,SupportTechBos,SupportTechBos,SupportTechBos
Test,Boston\Customer 29\Server,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 29\Division,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 29\Devices,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 30,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 30\Server,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 30\Division,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 30\Devices,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 31,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminBos,AdminBos,AdminBos,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 31\Server,Custom,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,AdminBos,AdminBos,AdminBos,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl,SupportTechMtl
Test,Boston\Customer 31\Division,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 31\Devices,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 32,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 32\Server,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 32\Division,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 32\Devices,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
Test,Boston\Customer 33,Custom,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,ServiceDeskTech,AdminMtl,AdminMtl,AdminMtl,ServiceDeskTech,ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech,Group_Users;ServiceDeskTech
Test,Boston\Customer 33\Server,Custom,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,AdminMtl,AdminMtl,AdminMtl,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech,SupportTech
